"theta"	"prop_random"	"iteration"	"mu"	"tau"	"I2"	"mu_2"	"tau_2"	"I2_2"
7.1	0	47	5.6920614055489e-18	0	0	0	0	0
7.1	0	48	-3.68628738645072e-17	0	0	0	0	0
7.1	0	49	3.16587034365767e-17	0	0	0	0	0
7.1	0	50	8.45677694538693e-18	0	0	0	0	0
7.1	0	51	2.45029690981724e-17	0	0	0	0	0
7.1	0	52	3.29597460435593e-17	0	0	0	0	0
7.1	0	53	-3.07913416985883e-17	0	0	0	0	0
7.1	0	54	-6.36968776335234e-18	0	0	0	0	0
7.1	0	55	5.93058588349571e-17	0	0	0	0	0
7.1	0	56	-1.94072188874905e-17	0	0	0	0	0
7.1	0	57	-1.95156391047391e-17	0	0	0	0	0
7.1	0	58	-3.12250225675825e-17	0	0	0	0	0
7.1	0	59	-2.03830008427275e-17	0	0	0	0	0
7.1	0	60	-2.65629532258949e-18	0	0	0	0	0
7.1	0	61	4.16875735320676e-17	0	0	0	0	0
7.1	0	62	-4.55364912443912e-18	0	0	0	0	0
7.1	0	63	-3.25260651745651e-17	0	0	0	0	0
7.1	0	64	4.98732999343332e-18	0	0	0	0	0
7.1	0	65	-2.27682456221956e-17	0	0	0	0	0
7.1	0	66	-2.16840434497101e-18	0	0	0	0	0
7.1	0	67	-6.657001339061e-17	0	0	0	0	0
7.1	0	68	3.15502832193282e-17	0	0	0	0	0
7.1	0	69	5.68121938382404e-17	0	0	0	0	0
7.1	0	70	2.64545330086463e-17	0	0	0	0	0
7.1	0	71	8.67361737988404e-19	0	0	0	0	0
7.1	0	72	2.25514051876985e-17	0	0	0	0	0
7.1	0	73	5.45353692760209e-17	0	0	0	0	0
7.1	0	74	-1.9895109865109e-17	0	0	0	0	0
7.1	0	75	3.39355279987963e-17	0	0	0	0	0
7.1	0	76	-8.02309607639273e-18	0	0	0	0	0
7.1	0	77	-2.77555756156289e-17	0	0	0	0	0
7.1	0	78	3.14418630020796e-17	0	0	0	0	0
7.1	0	79	-9.80118763926896e-17	0	0	0	0	0
7.1	0	80	-4.03323208164608e-17	0	0	0	0	0
7.1	0	81	1.99493199737333e-17	0	0	0	0	0
7.1	0	82	5.89805981832114e-17	0	0	0	0	0
7.1	0	83	-2.0870891820346e-17	0	0	0	0	0
7.1	0	84	-2.18466737755829e-17	0	0	0	0	0
7.1	0	85	1.38777878078145e-17	0	0	0	0	0
7.1	0	86	3.11708124589583e-17	0	0	0	0	0
7.1	0	87	3.33934269125535e-17	0	0	0	0	0
7.1	0	88	-2.69288714591087e-17	0	0	0	0	0
7.1	0	89	7.58941520739853e-18	0	0	0	0	0
7.1	0	90	-2.23345647532014e-17	0	0	0	0	0
7.1	0	91	-3.46944695195361e-17	0	0	0	0	0
7.1	0	92	-4.0766001685455e-17	0	0	0	0	0
7.1	0	93	-1.73472347597681e-18	0	0	0	0	0
7.1	0	94	9.97465998686664e-18	0	0	0	0	0
7.1	0	95	3.55076211489003e-18	0	0	0	0	0
7.1	0	96	-1.97866896478605e-18	0	0	0	0	0
7.1	0	97	1.95156391047391e-17	0	0	0	0	0
7.1	0	98	3.02492406123456e-17	0	0	0	0	0
7.1	0	99	2.73218947466347e-17	0	0	0	0	0
7.1	0	100	1.77809156287623e-17	0	0	0	0	0
7.3	0	1	-5.68121938382404e-17	0	0	0	0	0
7.3	0	2	1.24954300378954e-17	0	0	0	0	0
7.3	0	3	-2.95987193088543e-17	0	0	0	0	0
